time_epoch,time_str,real_id,x,y,camera_id
1785723160.260,09:12:40,Lon_Xanhduong_04,0.3696,0.4426,cam1
1785723161.271,09:12:41,Lon_Xanhduong_04,0.2893,0.4370,cam1
1785723162.396,09:12:42,Lon_Xanhduong_04,0.3268,0.4222,cam1
1785723163.536,09:12:43,Lon_Xanhduong_04,0.3339,0.3944,cam1
1785723164.553,09:12:44,Lon_Xanhduong_04,0.3589,0.3981,cam1
1785723165.660,09:12:45,Lon_Xanhduong_04,0.3482,0.3870,cam1
1785723166.736,09:12:46,Lon_Xanhduong_04,0.3339,0.3907,cam1
1785723167.516,09:12:47,Lon_Vang_02,0.7393,0.5019,cam1
1785723167.753,09:12:47,Lon_Xanhduong_04,0.2946,0.4852,cam1
1785723168.531,09:12:48,Lon_Vang_02,0.6179,0.4870,cam1
1785723168.870,09:12:48,Lon_Xanhduong_04,0.2536,0.5222,cam1
1785723169.559,09:12:49,Lon_Vang_02,0.6946,0.4722,cam1
1785723169.942,09:12:49,Lon_Xanhduong_04,0.2821,0.4796,cam1
1785723170.576,09:12:50,Lon_Vang_02,0.7554,0.5056,cam1
1785723170.957,09:12:50,Lon_Xanhduong_04,0.3929,0.5056,cam1
1785723171.588,09:12:51,Lon_Vang_02,0.7286,0.4852,cam1
1785723171.970,09:12:51,Lon_Xanhduong_04,0.3554,0.5296,cam1
1785723172.604,09:12:52,Lon_Vang_02,0.6679,0.5259,cam1
1785723172.987,09:12:52,Lon_Xanhduong_04,0.3304,0.5981,cam1
1785723173.615,09:12:53,Lon_Vang_02,0.7089,0.6574,cam1
1785723174.011,09:12:54,Lon_Xanhduong_04,0.3375,0.6463,cam1
1785723174.627,09:12:54,Lon_Vang_02,0.6732,0.5981,cam1
1785723175.020,09:12:55,Lon_Xanhduong_04,0.3125,0.5963,cam1
1785723175.654,09:12:55,Lon_Vang_02,0.7143,0.5593,cam1
1785723176.035,09:12:56,Lon_Xanhduong_04,0.3429,0.5667,cam1
1785723176.668,09:12:56,Lon_Vang_02,0.7286,0.6037,cam1
1785723177.062,09:12:57,Lon_Xanhduong_04,0.3804,0.6537,cam1
1785723177.693,09:12:57,Lon_Vang_02,0.6875,0.6037,cam1
1785723178.087,09:12:58,Lon_Xanhduong_04,0.3375,0.6167,cam1
1785723178.705,09:12:58,Lon_Vang_02,0.6821,0.6019,cam1
1785723179.101,09:12:59,Lon_Xanhduong_04,0.3446,0.6333,cam1
1785723179.730,09:12:59,Lon_Vang_02,0.6839,0.6259,cam1
1785723180.110,09:13:00,Lon_Xanhduong_04,0.3482,0.6481,cam1
1785723180.740,09:13:00,Lon_Vang_02,0.6768,0.6148,cam1
1785723181.134,09:13:01,Lon_Xanhduong_04,0.4232,0.6463,cam1
1785723181.847,09:13:01,Lon_Vang_02,0.7750,0.6537,cam1
1785723182.143,09:13:02,Lon_Xanhduong_04,0.4821,0.6963,cam1
1785723182.850,09:13:02,Lon_Vang_02,0.8536,0.6574,cam1
1785723183.166,09:13:03,Lon_Xanhduong_04,0.4536,0.6889,cam1
1785723184.168,09:13:04,Lon_Xanhduong_04,0.3911,0.6889,cam1
1785723184.490,09:13:04,Lon_Vang_02,0.9411,0.6241,cam1
1785723185.234,09:13:05,Lon_Xanhduong_04,0.1589,0.6574,cam1
1785723185.510,09:13:05,Lon_Vang_02,0.7857,0.5889,cam1
1785723186.299,09:13:06,Lon_Xanhduong_04,0.2196,0.6574,cam1
1785723186.535,09:13:06,Lon_Vang_02,0.8500,0.5852,cam1
1785723187.326,09:13:07,Lon_Xanhduong_04,0.2357,0.6593,cam1
1785723187.548,09:13:07,Lon_Vang_02,0.8768,0.5778,cam1
1785723188.350,09:13:08,Lon_Xanhduong_04,0.2464,0.6685,cam1
1785723188.574,09:13:08,Lon_Vang_02,0.8964,0.5685,cam1
1785723189.365,09:13:09,Lon_Xanhduong_04,0.2446,0.6759,cam1
1785723189.600,09:13:09,Lon_Vang_02,0.8446,0.6019,cam1
1785723190.394,09:13:10,Lon_Xanhduong_04,0.2661,0.6667,cam1
1785723190.630,09:13:10,Lon_Vang_02,0.8196,0.6352,cam1
1785723191.419,09:13:11,Lon_Xanhduong_04,0.2304,0.6185,cam1
1785723191.643,09:13:11,Lon_Vang_02,0.7518,0.4944,cam1
1785723192.433,09:13:12,Lon_Xanhduong_04,0.1339,0.5630,cam1
1785723192.655,09:13:12,Lon_Vang_02,0.6857,0.4778,cam1
1785723193.447,09:13:13,Lon_Xanhduong_04,0.0839,0.5537,cam1
1785723193.685,09:13:13,Lon_Vang_02,0.6589,0.4426,cam1
1785723194.458,09:13:14,Lon_Xanhduong_04,0.1071,0.5315,cam1
1785723194.695,09:13:14,Lon_Vang_02,0.6911,0.4426,cam1
